tournament,home_team_abbreviation,away_team_abbreviation,home_score,away_score,scheduled_datetime,isplayoff
Euro 2024,GER,SCO,5,1,2024-06-14 15:00:00,False
Euro 2024,HUN,CHE,-1,-1,2024-06-15 09:00:00,False
Euro 2024,GER,HUN,-1,-1,2024-06-19 12:00:00,False
Euro 2024,SCO,CHE,-1,-1,2024-06-19 15:00:00,False
Euro 2024,CHE,GER,-1,-1,2024-06-23 15:00:00,False
Euro 2024,SCO,HUN,-1,-1,2024-06-23 15:00:00,False
Euro 2024,ESP,HRV,-1,-1,2024-06-15 12:00:00,False
Euro 2024,ITA,ALB,-1,-1,2024-06-15 15:00:00,False
Euro 2024,HRV,ALB,-1,-1,2024-06-19 09:00:00,False
Euro 2024,ESP,ITA,-1,-1,2024-06-20 15:00:00,False
Euro 2024,ALB,ESP,-1,-1,2024-06-24 15:00:00,False
Euro 2024,HRV,ITA,-1,-1,2024-06-24 15:00:00,False
Euro 2024,SVN,DEN,-1,-1,2024-06-16 12:00:00,False
Euro 2024,SRB,ENG,-1,-1,2024-06-16 15:00:00,False
Euro 2024,SVN,SRB,-1,-1,2024-06-20 09:00:00,False
Euro 2024,DEN,ENG,-1,-1,2024-06-20 12:00:00,False
Euro 2024,ENG,SVN,-1,-1,2024-06-25 15:00:00,False
Euro 2024,DEN,SRB,-1,-1,2024-06-25 15:00:00,False
Euro 2024,POL,NLD,-1,-1,2024-06-16 09:00:00,False
Euro 2024,AUT,FRA,-1,-1,2024-06-17 15:00:00,False
Euro 2024,POL,AUT,-1,-1,2024-06-21 12:00:00,False
Euro 2024,NLD,FRA,-1,-1,2024-06-21 15:00:00,False
Euro 2024,FRA,POL,-1,-1,2024-06-25 12:00:00,False
Euro 2024,NLD,AUT,-1,-1,2024-06-25 12:00:00,False
Euro 2024,ROU,UKR,-1,-1,2024-06-17 09:00:00,False
Euro 2024,BEL,SVK,-1,-1,2024-06-17 12:00:00,False
Euro 2024,SVK,UKR,-1,-1,2024-06-21 09:00:00,False
Euro 2024,BEL,ROU,-1,-1,2024-06-22 15:00:00,False
Euro 2024,SVK,ROU,-1,-1,2024-06-26 12:00:00,False
Euro 2024,UKR,BEL,-1,-1,2024-06-26 12:00:00,False
Euro 2024,TUR,GEO,-1,-1,2024-06-18 12:00:00,False
Euro 2024,PRT,CZE,-1,-1,2024-06-18 15:00:00,False
Euro 2024,GEO,CZE,-1,-1,2024-06-22 09:00:00,False
Euro 2024,TUR,PRT,-1,-1,2024-06-22 12:00:00,False
Euro 2024,GEO,PRT,-1,-1,2024-06-26 15:00:00,False
Euro 2024,CZE,TUR,-1,-1,2024-06-26 15:00:00,False
