tournament,home_team_abbreviation,away_team_abbreviation,home_score,away_score,scheduled_datetime,isplayoff
World Cup 2026,CAN,BIH,,,2026-06-12 19:00:00,False
World Cup 2026,QAT,SUI,,,2026-06-13 19:00:00,False
World Cup 2026,BRA,MAR,,,2026-06-13 22:00:00,False
World Cup 2026,MEX,RSA,,,2026-06-11 19:00:00,False
World Cup 2026,KOR,CZE,,,2026-06-12 02:00:00,False
World Cup 2026,USA,PAR,,,2026-06-13 01:00:00,False
World Cup 2026,HAI,SCO,,,2026-06-14 01:00:00,False
World Cup 2026,AUS,TUR,,,2026-06-14 04:00:00,False
World Cup 2026,CIV,ECU,,,2026-06-14 23:00:00,False
World Cup 2026,GER,CUW,,,2026-06-14 17:00:00,False
World Cup 2026,NED,JPN,,,2026-06-14 20:00:00,False
World Cup 2026,SWE,TUN,,,2026-06-15 02:00:00,False
World Cup 2026,KSA,URU,,,2026-06-15 22:00:00,False
World Cup 2026,ESP,CPV,,,2026-06-15 16:00:00,False
World Cup 2026,IRN,NZL,,,2026-06-16 01:00:00,False
World Cup 2026,BEL,EGY,,,2026-06-15 19:00:00,False
World Cup 2026,FRA,SEN,,,2026-06-16 19:00:00,False
World Cup 2026,IRQ,NOR,,,2026-06-16 22:00:00,False
World Cup 2026,ARG,ALG,,,2026-06-17 01:00:00,False
World Cup 2026,AUT,JOR,,,2026-06-17 04:00:00,False
World Cup 2026,GHA,PAN,,,2026-06-17 23:00:00,False
World Cup 2026,ENG,CRO,,,2026-06-17 20:00:00,False
World Cup 2026,POR,COD,,,2026-06-17 17:00:00,False
World Cup 2026,UZB,COL,,,2026-06-18 02:00:00,False
World Cup 2026,CZE,RSA,,,2026-06-18 16:00:00,False
World Cup 2026,SUI,BIH,,,2026-06-18 19:00:00,False
World Cup 2026,CAN,QAT,,,2026-06-18 22:00:00,False
World Cup 2026,MEX,KOR,,,2026-06-19 01:00:00,False
World Cup 2026,BRA,HAI,,,2026-06-20 00:30:00,False
World Cup 2026,SCO,MAR,,,2026-06-19 22:00:00,False
World Cup 2026,TUR,PAR,,,2026-06-20 03:00:00,False
World Cup 2026,USA,AUS,,,2026-06-19 19:00:00,False
World Cup 2026,GER,CIV,,,2026-06-20 20:00:00,False
World Cup 2026,ECU,CUW,,,2026-06-21 00:00:00,False
World Cup 2026,NED,SWE,,,2026-06-20 17:00:00,False
World Cup 2026,TUN,JPN,,,2026-06-21 04:00:00,False
World Cup 2026,URU,CPV,,,2026-06-21 22:00:00,False
World Cup 2026,ESP,KSA,,,2026-06-21 16:00:00,False
World Cup 2026,BEL,IRN,,,2026-06-21 19:00:00,False
World Cup 2026,NZL,EGY,,,2026-06-22 01:00:00,False
World Cup 2026,NOR,SEN,,,2026-06-23 00:00:00,False
World Cup 2026,FRA,IRQ,,,2026-06-22 21:00:00,False
World Cup 2026,ARG,AUT,,,2026-06-22 17:00:00,False
World Cup 2026,JOR,ALG,,,2026-06-23 03:00:00,False
World Cup 2026,ENG,GHA,,,2026-06-23 20:00:00,False
World Cup 2026,PAN,CRO,,,2026-06-23 23:00:00,False
World Cup 2026,POR,UZB,,,2026-06-23 17:00:00,False
World Cup 2026,COL,COD,,,2026-06-24 02:00:00,False
World Cup 2026,SCO,BRA,,,2026-06-24 22:00:00,False
World Cup 2026,MAR,HAI,,,2026-06-24 22:00:00,False
World Cup 2026,SUI,CAN,,,2026-06-24 19:00:00,False
World Cup 2026,BIH,QAT,,,2026-06-24 19:00:00,False
World Cup 2026,CZE,MEX,,,2026-06-25 01:00:00,False
World Cup 2026,RSA,KOR,,,2026-06-25 01:00:00,False
World Cup 2026,CUW,CIV,,,2026-06-25 20:00:00,False
World Cup 2026,ECU,GER,,,2026-06-25 20:00:00,False
World Cup 2026,JPN,SWE,,,2026-06-25 23:00:00,False
World Cup 2026,TUN,NED,,,2026-06-25 23:00:00,False
World Cup 2026,TUR,USA,,,2026-06-26 02:00:00,False
World Cup 2026,PAR,AUS,,,2026-06-26 02:00:00,False
World Cup 2026,NOR,FRA,,,2026-06-26 19:00:00,False
World Cup 2026,SEN,IRQ,,,2026-06-26 19:00:00,False
World Cup 2026,EGY,IRN,,,2026-06-27 03:00:00,False
World Cup 2026,NZL,BEL,,,2026-06-27 03:00:00,False
World Cup 2026,CPV,KSA,,,2026-06-27 00:00:00,False
World Cup 2026,URU,ESP,,,2026-06-27 00:00:00,False
World Cup 2026,PAN,ENG,,,2026-06-27 21:00:00,False
World Cup 2026,CRO,GHA,,,2026-06-27 21:00:00,False
World Cup 2026,ALG,AUT,,,2026-06-28 02:00:00,False
World Cup 2026,JOR,ARG,,,2026-06-28 02:00:00,False
World Cup 2026,COL,POR,,,2026-06-27 23:30:00,False
World Cup 2026,COD,UZB,,,2026-06-27 23:30:00,False
